tweet,OFF,HS,VLG,VIO,HS_HS1,HS_HS2,HS_HS3,HS_HS5,HS_HS6,HS_NOT_HS
وصارت فطاير البقالات غذاء صحي 👎🏻 URL,0,NOT_HS,0,0,0,0,0,0,0,1
@USER روحي لبريده تلقين اشباه كثير بس ماحد زيكم مشفوح يخقخق ويطالعهم بكل انحطاط ويصورهم الله يفشلكم بس😷,1,NOT_HS,0,0,0,0,0,0,0,1
@USER مش باين حاجه خالص 😣<LF>مش عارف بقى 😔,0,NOT_HS,0,0,0,0,0,0,0,1
"#اليوم_الاثنين<LF><LF>👏 يقولك :%90  من المسلمين <LF>عندهم خاله اسمها امل<LF>👏أو عمه امل <LF>👏او اخت امل<LF>👏او زوجه امل<LF>👏او بنت امل<LF>✊او حماة امل<LF>👊واللي ماعنده ولا امل<LF>بالعائلة يراجع نفسه لانه وضعه مو طبيعي/😳<LF>وأي قروب فيه ""امل"" هو من أسعد القروبات<LF>اذا عندكم وحده اسمها امل ارسلوها لها😽😻",0,NOT_HS,0,0,0,0,0,0,0,1
حمدلله ماحطها في فمي اساسا😷🤢 URL,0,NOT_HS,0,0,0,0,0,0,0,1
@USER هههه 😂🌚🤢,0,NOT_HS,0,0,0,0,0,0,0,1
#بايع_الكليجا اللي مايضحك من هالمقطع يبلكني هههههههه مطططههببللللل 😂😂😂👌👌👊👊😍😍😩😩😂😂 يمثلني ههههههه 😂😂👊 URL,0,NOT_HS,0,0,0,0,0,0,0,1
خلاص الله يزعجكم خلللاص 😷😷 #بايع_الكليجا,1,NOT_HS,0,0,0,0,0,0,0,1
@USER هيلق و جحلط غير كذا مافي 😷,1,NOT_HS,0,0,0,0,0,0,0,1
@USER تعبت ارد على كونت تراا متخلفين ورجعيين حتى كل اكتبها كوول كيفي ياناس حلوا عن سماي اااف 👊🏼,1,NOT_HS,0,0,0,0,0,0,0,1
@USER وهو صادق من يسب الصحابه ويدعي تحريف القران ويتهم عائشه بالزنا وش نسميه مسلم مطور مثلا؟؟<LF>الا بيض الله وجهه كلامه صحيح وماقال الا الحق ياالبقره👊🏻,1,HS2,0,0,0,1,0,0,0,0
@USER بقوه 👊,0,NOT_HS,0,0,0,0,0,0,0,1
"RT @USER تذكروا جيدا #قائمة_الجزم 👞 أكرم الله القارئين.<LF>وتذكروا جيدا أنهم دائما وأبدا جاهزون، لتلبية وعد إبليس.<LF>""ابليس يقول: محا…",1,NOT_HS,0,0,0,0,0,0,0,1
RT @USER في ذبانه لو اصيدها والله راح اربطها واركض يمها واصرخ😡,0,NOT_HS,0,0,0,0,0,0,0,1
@USER وين الحش ؟<LF>اذا فهمته هو واشكاله ان زمن جلسه البيت انتهى وولى صار حش ؟<LF>وبعدين وش نظام سواليف البزران هذي؟<LF>اكبر ياخي 😷,0,NOT_HS,0,0,0,0,0,0,0,1
@USER انا كم مره اقولكم مو عيب اللي تسوونه؟ الكذب على الناس حرااااااااام 🙄👊🏻,0,NOT_HS,0,0,0,0,0,0,0,1
@USER LOL <LF>شمشوم تحت المجهر. <LF>بن عمي شوف انا لو خاصمك تصعب علي<LF>لو بدك محامي انت بس تطلب 🙉,0,NOT_HS,0,0,0,0,0,0,0,1
وووووووووووووووو رومان رينز 😂❤️👊🏻 #EleminationChamber URL,0,NOT_HS,0,0,0,0,0,0,0,1
@USER ان شاء الله يرفع عليك وعليهم قضيه وتنجلدين من اهلك 🌚🔪,0,NOT_HS,0,0,0,0,0,0,0,1
@USER يلاا مشينا 💜💜💜💜🌏🐸,0,NOT_HS,0,0,0,0,0,0,0,1
ترند بتويتر لعنبو ابليسكم خلو المسلم بحالة شهرتو به 😠  #بايع_الكليجا,1,NOT_HS,0,0,0,0,0,0,0,1
➺🌸┊↷<LF><LF>⠀┊<LF><LF>لن تحــصــل علــى غــدٍ افــضل مادمــت تفــكر بالامــس🥀. 🚶👌<LF>       <LF>   ​•   _______________⠀<LF>⠀⠀⠀⠀⠀⠀👍 👎<LF><LF>  💗⠀▸ URL,0,NOT_HS,0,0,0,0,0,0,0,1
@USER بهذذذذدي .. صدقت  قسم محد يفرح لك الااا اللي يحبك<LF>او من رحم ربي 👍🙊🙈🙉 URL,0,NOT_HS,0,0,0,0,0,0,0,1
@USER دكتور فارس بتفرقكن راح تخلو التيار وحدو يجيب الحاصل 😡,0,NOT_HS,0,0,0,0,0,0,0,1
تعوسي عطاني فولو دخلت صفحته و اشوفه كاتب انو ساقطات اللي خقو على بايع الكليجا وطايح قذف فيهم و حسابه الحقير كله اباحيات 🤢 استشرافه صنفه قوي عطيته بلوك,1,HS1,0,0,1,0,0,0,0,0
@USER ١٦٠ الف كيلو هذه اجيبها في ٣ سنين <LF>بتضحكو على مين !!!!! قال الضمان ٨ سنين قال 👎🏻,0,NOT_HS,0,0,0,0,0,0,0,1
اختفى مروان تلودي طلعوا جولي شيك و القرشي 😷,0,NOT_HS,0,0,0,0,0,0,0,1
اليوم الجوى اكثر من رائع ....🌹❤️🌺👊🏼☕️ URL,0,NOT_HS,0,0,0,0,0,0,0,1
RT @USER #افضح_معنفك 🔞!!!<LF><LF>لا يوجد اشد من هالفضيحه <LF>( بشار ) 🔪<LF>اللهم ارحم شهداء الوطن الأبرار🕋 <LF>دعواتكم <LF> لعل الله القوي الجبار الم…,1,NOT_HS,0,0,0,0,0,0,0,1
RT @USER تخيل نحتفل بالتعادل<LF>مع فريق<LF><LF>جزمة ابو نوران <LF>أكبر من تاريخهم <LF>😂🐸😂🐸😂 URL,1,HS3,0,0,0,0,1,0,0,0
"حاط صورة حسن نصر الله<LF>ويقول "" اهل الكويت الاصليين "" !<LF><LF>الطم ؟ 😂👊🏽<LF>ٰ URL",0,NOT_HS,0,0,0,0,0,0,0,1
RT @USER #رسالة_السيسي_بالزي_العسكري<LF>الرئيس السيسى<LF>لرئيس الأركان<LF>يامحمد عايزك تشيل<LF>الإرهابيين من على<LF>وش الأرض👊<LF> 👈 #بكل_عنف_وقوة💪<LF>اح…,0,NOT_HS,0,0,0,0,0,0,0,1
مبروووك @USER عاد ٣ كان خليتوها ٤ <LF>@USER  ترا حتى وضاح خسران اندية لندن 👎🏻,0,NOT_HS,0,0,0,0,0,0,0,1
@USER انا ما اسافر بعيد التحرير 😣,0,NOT_HS,0,0,0,0,0,0,0,1
اكره شي في الحياة تطلع من بيتكم متسبح ومتعطر ومتزقرت وتدخل بوفية وفوق هذا العامل قاعد يقلي فلافل خلاص الحين وش يخلص اليوم ابي بس ارمي الثوب احسني صرة فلافلة 😷💔😅,0,NOT_HS,0,0,0,0,0,0,0,1
@USER نه😡,0,NOT_HS,0,0,0,0,0,0,0,1
@USER كسرتيني ي غيدا 😭😭 تحبين من وراي؟؟ ليه تخونيني😔😔😔🔪💔🤦🏽‍♀️😭,0,NOT_HS,0,0,0,0,0,0,0,1
@USER جاتني كتمه ، ٣ مواد ليه ؟! 😷💔💔💔💔,0,NOT_HS,0,0,0,0,0,0,0,1
@USER الشمال 😣,0,NOT_HS,0,0,0,0,0,0,0,1
@USER قلتي له يا الضرح واي اعتداء على عضيدي اعتداء علي و الرد بيكون شديد 🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪🔪,1,NOT_HS,0,1,0,0,0,0,0,1
@USER لحول انت جالس لي فكل شي اكتبه😕👊,0,NOT_HS,0,0,0,0,0,0,0,1
@USER ليش هالحقد ما عندنا احد في النص 👊🏻,0,NOT_HS,0,0,0,0,0,0,0,1
@USER شكله مافهم معنها😂😂🔪,0,NOT_HS,0,0,0,0,0,0,0,1
RT @USER #بايع_الكليجا<LF>راح تتغير طريقة اكل الكليجا ..<LF>البنت تبوسها ثم تأكلها...😉<LF>الولد يدبجها ثم ياكلها..😠,0,NOT_HS,0,0,0,0,0,0,0,1
@USER ليه بس انت حبيبك كتير 😂😂👊,0,NOT_HS,0,0,0,0,0,0,0,1
RT @USER سبحان الله ناس تجري و راها الشهره 😏<LF>و ناس تجري و را الشهره 🐸<LF>العالمية تعني اكسو 😌<LF> #EXOL #BestFan…,0,NOT_HS,0,0,0,0,0,0,0,1
@USER ماش 👎🏻,0,NOT_HS,0,0,0,0,0,0,0,1
جد يعني باجر دوام🔪🔪,0,NOT_HS,0,0,0,0,0,0,0,1
@USER للاسف انهم يكذبون كما يتنفسون لأنهم 🐗🐗🐗🐑🐑🐑🐑🐑🐏🐏🐏🐏🐏,1,NOT_HS,0,0,0,0,0,0,0,1
RT @USER افا يا الطرش يا التركستاني🐸<LF>طلع لك لسان وتتجرا تتكلم عن المنتخب السعودي,1,HS1,0,0,1,0,0,0,0,0
RT @USER أقوى شي يسد النفس 😷<LF><LF>تجلس مع واحد ياكل تمر ويمصمص أصابعه <LF><LF>ويرجع يقلب التمر و ينقي<LF><LF>😳 و يقولك :<LF>شفيك ما تهبش ...<LF> <LF>هبشك كيبل كه…,1,NOT_HS,0,0,0,0,0,0,0,1
@USER مايدرسون جغرافيا 👎🏻,0,NOT_HS,0,0,0,0,0,0,0,1
ايمتى يخلص هالشهر                                                     والله لو إنّو 31 يوم 😷,0,NOT_HS,0,0,0,0,0,0,0,1
ميووووت 🐸,0,NOT_HS,0,0,0,0,0,0,0,1
